😀;嘿嘿;笑脸|脸|高兴
🙂‍↔️;左右摇头;否定|摇头
🙂‍↕️;上下点头;点头，肯定
😌;松了口气;如释重负|松口气|脸|蝉
😔;沉思;失落|心事重重|忧虑|脸
😪;困;哭|想睡|满脸睡容|疲惫|睡觉|瞌睡|脸
🤤;流口水;口水|垂涎|垂涎三尺|流口水的脸|脸
😴;睡着了;呼噜|小睡|想睡|打呼|晚安|睡容|睡觉|累|累了|脸
🫩;有眼袋;厌倦|困倦|晚睡|熬夜|疲倦|疲劳|疲惫|眼|眼袋|脸
😷;感冒;医生|口罩|戴口罩|戴口罩的脸|生病|病菌|脸
🤒;发烧;体温计|咬着体温计的脸|温度计|生病|脸|量体温
🤕;受伤;头绑绷带|打绷带|脸
🤢;恶心;吐|呕|恶心作呕的脸|脸|脸绿了
🤮;呕吐;不舒服|吐|呕吐的脸|生病|病容|病恹恹|脸
🤧;打喷嚏;喷嚏|打喷嚏的脸|生病|脸|鼻涕
🥵;脸发烧;中暑|冒汗|出汗|发烧|发热|吐舌|心狂跳|热|脸红
🥶;冷脸;冰柱|冷|冷冰冰|冻|冻僵|满面寒霜|脸|脸色发青|蓝色|零下
🥴;头昏眼花;两眼不平|喝醉|嘴唇颤抖|头晕目眩|头晕眼花|微醉|微醺|波浪嘴形|眩晕的脸|眼花|醉醺醺
😵;晕头转向;头晕|头晕眼花|晕头|晕头的脸|脸
😵‍💫;晕;哇|哎呀|头晕|笑脸|迷糊
🤯;爆炸头;不可能|印象深刻|吓到了|惊吓|震惊
🤠;牛仔帽脸;帽|牛仔|脸
🥳;聚会笑脸;号角|喝彩|帽子|庆祝|派对|狂欢的脸|生日|聚会|脸|节日快乐
🥸;伪装的脸;人物|伪装|眉毛|眼镜|胡子|脸|间谍|隐瞒身份|鼻子
😎;墨镜笑脸;太阳镜|眼镜|耶|脸|酷|墨镜
🤓;书呆子脸;专家|书呆子|天才|奇葩|宅男|极客|眼镜|眼镜笑脸|聪明|脸
🧐;带单片眼镜的脸;单眼镜|古板|奢华|富有|戴单眼镜的脸
😕;困扰;不懂|不确定|困惑|疑惑|脸
🫤;郁闷;不相信|不确定|困惑|失望|怀疑|无所谓|无聊|沮丧|疑惑|迷惘
😟;担心;不高兴|伤心|忧心的脸|意外|担忧|焦虑|紧张|脸
🙁;微微不满;不开心|不高兴|不高兴的脸|委屈|小委屈|心情不好|脸
☹️;不满;不爽|不高兴|委屈|皱眉|皱眉的脸|脸
😮;吃惊;同情|啊|忘记|我不信|我的天|脸
😯;缄默;吃惊|哦|我的天|脸|静而无语
😲;震惊;不可以|惊|惊讶|惊讶的脸|没可能|绝不|脸
😳;脸红;困惑|天呀|害羞|羞涩|脸|茫然|迷茫|难以置信
🫪;变形的脸;惊喜|惊恐|惊慌|焦虑|脆弱|膨胀|震惊
🥺;恳求的脸;可怜兮兮的眼神|大眼睛|小狗的脸|怜悯|祈求|祈求的脸|脸|请求
🥹;忍住泪水;哭泣|喜极而泣|尴尬|悲伤|情绪|感激|感谢|抗拒|拜托|生气|自豪
😦;啊;惊讶|意外|目瞪口呆|脸
😧;极度痛苦;痛|痛啊|痛苦|脸|难受
😨;害怕;不安|怕|恐怖|恐惧|脸
😰;冷汗;张嘴冒冷汗的脸|惊讶|无语|汗|焦虑|紧张|脸
😥;失望但如释重负;下次吧|出冷汗|失望|失望但解脱|如释重负|脸
😢;哭;伤心|哀伤|哭脸|泪|脸
😭;放声大哭;哭|大哭|放声大哭的脸|泪|痛哭|脸
😱;吓死了;吓死|害怕|尖叫|恐怖|惊吓大叫的脸|脸
😖;困惑;困惑的脸|焦头烂额|纠结|脸
😣;痛苦;专注|入定|头痛|忍耐|脸|难受
😞;失望;不高兴|失望的脸|脸|难过
😓;汗;冒冷汗|冒汗|冷|尴尬|担心|脸
😩;累死了;疲倦|疲劳|疲惫|累|脸
😫;累;倦容|疲倦|疲劳|疲惫|脸
🥱;打呵欠;呵欠|哈欠|困|困倦|夜里|打哈欠|打哈欠的脸|无聊|昏昏欲睡|晚安|疲倦|累
😤;傲慢;不爽|愤怒|气炸了|胜利|自负|赢|趾高气昂
😡;怒火中烧;发火|发飙|怒|生气|脸
😠;生气;不爽|不高兴|怒|愤怒|脸
🤬;嘴上有符号的脸;不爽|发誓|咒骂|生气|碎碎唸的脸|脸|诅咒
😈;恶魔微笑;幻想|微笑|犄角|神话故事|脸|邪魔
👿;生气的恶魔;带角的怒容|幻想|恶魔|犄角|脸|顽童
💀;头骨;妖怪|怪兽|死亡|神话故事|脸|身体|骷髅
☠️;骷髅;交叉股骨|头骨|妖怪|怪物|死亡|海盗|脸|骨头
💩;大便;好臭|屎|怪物|粑粑|脸|臭
🤡;小丑脸;小丑|脸
👹;食人魔;吓人|妖怪|幻想|日本|神话故事|脸|面具|鬼|魔鬼
👺;小妖精;妖怪|幻想|怪物|日本|神话故事|脸|鬼
👻;鬼;万圣节|妖怪|幻想|幽灵|怪物|神话故事|脸|鬼脸
👽;外星人;ufo|外太空|外星|太空|幻想|星际|脸|飞碟
👾;外星怪物;ufo|外星|外星人|太空|怪物|星际|脸|飞碟
🤖;机器人;怪物|脸
😺;大笑的猫;哈哈|大笑的猫脸|猫脸|笑|脸
😸;微笑的猫;呵呵|微笑的猫脸|猫脸|笑|笑颜逐开|脸
😹;笑出眼泪的猫;喜极而泣|快乐|猫脸|眼泪|笑出眼泪|笑出眼泪的猫脸|脸
😻;花痴的猫;WC|喜欢|心|猫|猫脸|脸|花痴|花痴的猫脸
😼;奸笑的猫;嘲讽笑容|奸笑|奸笑的猫脸|猫脸|脸|讽刺
😽;亲亲猫;亲亲|吻|猫脸|猫脸亲亲|脸|闭眼亲亲的猫脸
🙀;疲倦的猫;惊讶|猫脸|疲倦|疲倦的猫脸|疲劳|疲惫|累|脸
😿;哭泣的猫;哭|哭泣的猫脸|泪|猫脸|眼泪|脸|难过
😾;生气的猫;猫脸|生气|生气的猫脸|脸
🙈;非礼勿视;不许看|别看|尴尬|糗|脸|蒙住眼睛|蒙眼
🙉;非礼勿听;嘘|堵上耳朵|堵耳|猴子|脸
🙊;非礼勿言;不许说|捂上嘴巴|捂嘴|秘密|脸
💌;情书;信|心|邮件
💘;心中箭了;一箭穿心|丘比特|我爱你|浪漫|爱情|箭|红心
💝;系有缎带的心;我爱你|爱的礼物|绑丝带的心|送你一颗心
💖;闪亮的心;我爱你|激动|红心|闪亮
💗;搏动的心;亲亲|吻|我爱你|搏动|激动|红心|紧张
💓;心跳;心动|我爱你|爱
💞;舞动的心;我爱你|旋转|涌动|跃动
💕;两颗心;我爱你|爱情
💟;心型装饰;心|我爱你|装饰
❣️;心叹号;叹号|心动|标点符号
💔;心碎;伤心
❤️‍🔥;火上之心;渴望|燃烧|爱
❤️‍🩹;修复受伤的心灵;修补|恢复|痊愈
❤️;红心;心|爱
🩷;粉红色的心;可爱|喜欢|心|感情|我爱你|爱|特殊|甜蜜|粉红|讨人喜欢
🧡;橙心;橘心|橘色|橘色的心|橙
💛;黄心;我爱你|黄
💚;绿心;我爱你|绿
💙;蓝心;我爱你|蓝
🩵;浅蓝色的心;可爱|喜欢|天蓝|心|感情|我爱你|浅蓝|爱|特殊|蓝绿|蓝绿色|青色
💜;紫心;我爱你|紫
🤎;棕心;心|心形|棕|棕色|棕色爱心|爱心
🖤;黑心;心|邪恶|黑|黑色|黑色的心
🩶;灰心;心|感情|我爱你|暗灰|灰|灰色|爱|特殊|银|银色
🤍;白心;心|心形|爱心|白|白色|白色爱心
💋;唇印;亲吻|吻|唇|性感|接吻|浪漫
💯;一百分;100|满分|百分百|绝对|考试
💢;怒;火大|生气|青筋
🫯;打斗云团;争论|吵架|战斗|打斗|打架|摔跤|斗殴|骚动
💥;爆炸;撞|旺|炸|爆
💫;头晕;头晕目眩|星星|流星
💦;汗滴;喷溅|小水滴|小水珠|汗|泼贱|溅
💨;尾气;扬尘而去|放屁|烟|疾驰而去|飞奔而去
🕳️;洞;井盖|坑|陷阱
💬;话语气泡;发言|对话框|气泡|气泡对话框|气球|漫画
👁️‍🗨️;眼睛对话框;对话框|目擊|眼睛
🗨️;朝左的话语气泡;对话框|话语
🗯️;愤怒话语气泡;右倾愤怒对话框|对话框|愤怒
💭;内心活动气泡;对话框|思想|思想活动|想法|梦|气泡|泡泡对话框|白日梦
💤;睡着;呼噜|困了|想睡|打呼|晚安|疲倦
👋;挥手;你好|再见|嗨|在吗|手|等一下|等等|该走了
🤚;立起的手背;举起|举起手背|手|手背|立起
🖐️;手掌;举起张开的手掌|击掌|布|手|禁止
✋;举起手;举手|举起的手|五指|停|击掌|手
🖖;瓦肯举手礼;手|敬礼|斯波克|星际迷航|瓦肯
🫱;向右的手;伸手|右|右手|向右|手|握手
🫲;向左的手;伸手|向左|左|左手|手|握手
🫳;掌心向下的手;下投|手|扔掉|拿起|捡起|解散|驱赶
🫴;掌心向上的手;不知道|召唤|告诉我|手|拿着|接住|提供|过来|送出
🫷;向左推;中止|停止|击掌|向左|往左|手|拒绝|推|暂停|等等|阻挡
🫸;向右推;中止|停止|击掌|向右|往右|手|拒绝|推|暂停|等等|阻挡
👌;OK;OK 手势|可以|同意|好的|当然|手|没问题|确定
🤌;捏手指;为什么|你到底在说什么|匮乏|审讯|强调|您要什么|手势|手指|挖苦|放松点
🤏;捏合的手势;一点|一点点|小|少|少量|手指|捏着|某种程度上
✌️;胜利手势;V|和平|成功|手|胜利
🤞;交叉的手指;交叉|幸运|手|手指|祝好运
🫰;食指与拇指交叉的手;响指|心|手|昂贵|比心|爱|爱心|金钱|钞票
🤟;爱你的手势;三种|我爱你|手|爱你
🤘;摇滚;手|摇滚精神|燥起来|角|金属礼
🤙;给我打电话;手|打电话给我|电话|给我打电话的手势
👈;反手食指向左指;反手|向左指|手|指左|食指
👉;反手食指向右指;反手|向右指|手|指右|食指
👆;反手食指向上指;反手|向上指|手|指上|食指
🖕;竖中指;中指|反手|手
👇;反手食指向下指;反手|向下指|手|指下|食指
☝️;食指向上指;向上指|手|指上|食指
🫵;指向观察者的食指;伸出手指|你|戳|手指|指|指向
👍;拇指向上;同意|好|手|拇指|真棒|赞|赞成|顶一下
👎;拇指向下;不赞成|反对|否决|手|责备
✊;举起拳头;举拳|团结|手|拳头|握拳
👊;出拳;完全同意|手|打|拳|挥拳过来|绝对正确
🤛;朝左的拳头;拳头|朝左
🤜;朝右的拳头;手|拳头|朝右
👏;鼓掌;干得好|恭喜|拍手|赞成
🙌;举双手;举手|击掌|双手|庆祝|手
🫶;做成心形的双手;手|比心|爱|爱你|爱心
👐;张开双手;十|双手|摊手
🤲;掌心向上托起;双掌|双掌向上|希望|祈祷|祷告
🤝;握手;一言为定|会面|协议|君子协定
🙏;双手合十;合掌|感恩|拜托|祈求|祈祷|祈福|祝福|谢谢
✍️;写字;写|手|笔
💅;涂指甲油;修指甲|忙完了|护手|指甲油|美甲|闷|随便啦
🤳;自拍;手机|相机
💪;肌肉;二头肌|健身房|强壮
🐵;猴头;动物|猴|猴子
🦍;大猩猩;动物
🦧;红毛猩猩;动物|猩猩|猴|猴子|猿
🐶;狗脸;宠物|小狗|汪星人|狗|脸
🐕;狗;动物|宠物|小狗|汪星人
🐩;贵宾犬;卷毛狗|毛茸茸|狗
🐺;狼;头|狼头|脸
🦊;狐狸;动物|头|狐狸的脸|脸
🦝;浣熊;动物|好奇|淘气|狡猾
🐱;猫脸;宠物|猫|猫咪|脸
🐈;猫;宠物|小猫
🦁;狮子;狮子头|狮子座|脸|黄道十二宫
🐯;老虎头;森林之王|老虎|脸
🐅;老虎;动物园|虎
🐆;豹子;动物|猎豹|豹
🐴;马头;盛装舞步|马
🐎;马;动物|比赛|赛马|骑马
🦄;独角兽;头|独角兽头|脸
🦓;斑马;条纹
🦌;鹿;动物
🐮;奶牛头;乳牛|奶牛|母牛|牛头|脸
🐂;公牛;牛|金牛座|黄道十二宫
🐃;水牛;
🐄;奶牛;乳牛|牛
🐷;猪头;八戒|猪|脸
🐖;猪;培根|猪肉
🐗;野猪;动物|猪
🐏;公羊;白羊座|羊|雄性|黄道十二宫
🐑;母羊;咩|毛茸茸|绵羊|羊|羊毛|雌性
🐐;山羊;摩羯座|黄道十二宫
🐪;骆驼;单峰|单峰驼|沙漠|驼峰
🐫;双峰骆驼;双峰|沙漠|骆驼
🦙;美洲鸵;动物|原驼|小羊驼|无峰驼|羊毛|羊驼|骆马
🦒;长颈鹿;斑点
🐘;大象;动物|象
🦏;犀牛;动物
🦛;河马;动物
🐭;老鼠头;鼠
🐁;老鼠;耗子|鼠
🐀;耗子;鼠
🐹;仓鼠;仓鼠头|啮齿|头|宠物|脸
🐰;兔子头;兔|兔宝宝|宠物
🐇;兔子;兔|动物
🐿️;松鼠;花栗鼠|金花鼠
🦔;刺猬;多刺
🦇;蝙蝠;吸血鬼
🐻;熊;低吼|头|灰熊|熊头|熊脸|脸
🐨;考拉;动物|有袋类动物|树袋熊|澳大利亚
🐼;熊猫;头|熊猫脸|猫熊|猫熊脸|胖达|脸
🦥;树懒;慢|懒|爬树|迟缓
🦦;水獭;动物|好玩|捕鱼|爱开玩笑|獭|鼬
🦨;臭鼬;熏|臭|鼬
🦘;袋鼠;动物|小袋鼠|有袋目动物|有袋类动物|澳洲|跳|跳跃
🦡;獾;动物|打扰|纠缠|蜜獾
🐾;爪印;爪|爪子|足迹
🦃;火鸡;感恩节
🐔;鸡;动物
🐓;公鸡;动物|鸡
🐦;鸟;动物|鸟类学
🐧;企鹅;南极|南极洲
🕊️;鸽;和平|和平象征|飞翔|鸟|鸽子
🦅;鹰;老鹰|鸟
🦆;鸭子;鸟|鸭
🦢;天鹅;丑小鸭|动物|小天鹅|鸟
🦉;猫头鹰;睿智|鸟
🦩;火烈鸟;华丽|热带|红鹳|艳丽
🦚;孔雀;卖弄|招摇|色彩缤纷|雌孔雀|骄傲|鸟
🦜;鹦鹉;剽窃|模仿|说话|鸟
🐸;青蛙;动物|头|脸|青蛙头
🐊;鳄鱼;
🐢;龟;乌龟|海龟|陆龟
🦎;蜥蜴;爬行动物
🐍;蛇;持票人|狡猾的人|蛇夫座|黄道十二宫
🐲;龙头;神话|童话|龙
🐉;龙;中国|权力的游戏
🐳;喷水的鲸;喷水|鲸
🐋;鲸鱼;
🐬;海豚;鸭脚板
🐟;鱼;双鱼座|星座|黄道十二宫
🐠;热带鱼;热带|鱼
🐡;河豚;鱼
🦈;鲨鱼;鱼|鲨
🐙;章鱼;八爪|鱼
🐚;海螺;螺|螺旋
🦀;蟹;巨蟹座|螃蟹|黄道十二宫
🦞;龙虾;浓汤|海鲜|红龙虾|贝类浓汤|钳|鳌
🦐;虾;甲壳|贝类水产|食物
🦑;乌贼;软体动物|食物|鱿鱼|墨鱼
🐌;蜗牛;法国蜗牛
🦋;蝴蝶;昆虫|漂亮|美丽
🐛;毛毛虫;昆虫|毛虫
🐜;蚂蚁;
🐝;蜜蜂;勤劳|昆虫|蜂蜜
🐞;瓢虫;昆虫|母
🦟;蚊子;发烧|发热|昆虫|疟疾|疾病|病|病毒
💐;花束;周年纪念|生日|罗曼史|鲜花
🌸;樱花;花
🌹;玫瑰;优雅|红玫瑰|花
🥀;枯萎的花;凋谢|枯萎|花
🌺;芙蓉;木槿|植物|花
🌻;向日葵;太阳|太阳花|花
🌼;开花;花|蒲公英
🌷;郁金香;开花|花
🌱;幼苗;发芽|芽|苗
🌲;松树;圣诞树|常青树|树
🌳;落叶树;树|落叶|落叶植物
🌴;棕榈树;树|棕榈|热带
🌵;仙人掌;干旱|植物|沙漠
🌾;稻子;稻|米|粮食|谷物
🌿;药草;草药|香草
☘️;三叶草;爱尔兰|苜蓿|酢浆草
🍀;四叶草;幸运|爱尔兰的
🍁;枫叶;树叶|秋叶|落叶
🍂;落叶;叶|秋
🍃;风吹叶落;叶子|树叶|随风飘舞
🍄;蘑菇;毒蕈|真菌
🍇;葡萄;水果
🍈;甜瓜;哈密瓜|水果|蜜瓜|香瓜
🍉;西瓜;水果
🍊;橘子;柑桔|柑橘|桔子|水果|油桃|维他命 C
🍋;柠檬;柑橘|水果|酸
🍌;香蕉;水果|钾
🍍;菠萝;水果|热带
🥭;芒果;水果|热带|食物
🍎;红苹果;健康|水果|熟|红|苹果|食物
🍏;青苹果;水果|苹果|青
🍐;梨;水果
🍑;桃;水果
🍒;樱桃;水果
🍓;草莓;水果|浆果
🫐;蓝莓;水果|浆果|越桔|食物
🥝;猕猴桃;奇异果|水果|食物
🍅;西红柿;水果|番茄|蔬菜
🫒;橄榄;食物
🥥;椰子;棕榈|菠萝椰子兰姆酒
🥑;鳄梨;水果|牛油果|酪梨|食物|黄油果
🍆;茄子;蔬菜
🥔;土豆;蔬菜|食物|马铃薯
🥕;胡萝卜;蔬菜|食物
🌽;玉米;农作物|包谷|苞米
🌶️;红辣椒;辣|辣椒
🫑;灯笼椒;蔬菜|辣椒|青椒|食物
🥒;黄瓜;泡菜|腌菜|蔬菜|食物
🥬;绿叶蔬菜;卷心菜|圆白菜|小白菜|甘蓝|生菜|羽衣甘蓝|色拉|莴苣
🥦;西兰花;甘蓝|野生卷心菜
🧄;蒜;佐料|大蒜|蒜头|调味
🧅;洋葱;佐料|调味
🥜;花生;坚果|蔬菜|食物
🌰;栗子;杏仁
🍞;面包;一条面包|全麦面包|小麦|淀粉|烤面包|谷类|食物|餐厅
🥐;羊角面包;新月形面包|法式|牛角面包|面包|食物
🥖;法式长棍面包;法式|法式长条面包|面包|食物
🫓;扁面包;圆盘状烤饼|玉米饼|皮塔饼|薄脆饼|面包|面饼|食物
🥨;椒盐卷饼;弯曲|扭曲食品|盘绕|缠绕|错综复杂
🥯;面包圈;奶酪酱|早餐|烘烤食品|硬面包圈|贝果|面包
🥞;烙饼;煎饼|薄煎饼|薄饼|食物
🧇;华夫饼;松饼|格子饼|点心|烤|甜点|窝夫饼
🧀;芝士;奶酪|起司
🍖;排骨;带骨的肉|肉|骨
🍗;家禽的腿;家禽|火鸡|饿|骨|鸡肉|鸡腿
🥩;肉块;排骨|牛排|猪排|红肉|羊排|肉|肉排
🥓;培根;烟肉|熏肉|肉|背肯|食物
🍔;汉堡;吃|汉堡包|速食|食物|饿
🍟;薯条;快餐|油炸|食物
🍕;披萨;一片比萨|比萨|比萨饼|起司|辣味香肠|食物|饿
🌭;热狗;香肠
🥪;三明治;面包
🌮;墨西哥卷饼;卷饼|玉米卷饼|墨西哥|墨西哥玉米卷
🌯;墨西哥玉米煎饼;卷饼|玉米煎饼|墨西哥|墨西哥卷饼
🫔;墨西哥粽子;巴西粽|粽子|食物|墨西哥|墨西哥饼
🥙;夹心饼;大饼|夹心|沙拉三明治|炸豆丸子|烤肉串|肉夹馍|食物
🧆;炸豆丸子;中东蔬菜球|油炸鹰嘴豆饼|肉丸|鹰嘴豆
🥚;蛋;食物
🍳;煎蛋;一面老一面嫩的煎蛋|做菜|只煎一面老|平底锅|早餐|煎|蛋|食堂
🥘;装有食物的浅底锅;平底锅|浅底|炖菜|炖锅|煎锅|西班牙海鲜饭|食物
🍲;一锅食物;炖菜|锅|食物
🫕;奶酪火锅;奶酪|奶酪锅|巧克力|火锅|煮|煲汤|瑞士|融化|锅|食物
🥗;绿色沙拉;沙拉|绿色蔬菜|食物
🍿;爆米花;看电影
🧈;黄油;乳制品|牛奶
🥫;罐头食品;罐头
🍱;盒饭;便当|便当盒|食物
🍘;米饼;米|米果|食物
🍙;饭团;日式饭团|日本|米|食物
🍚;米饭;主食|米|食物|饭
🍛;咖喱饭;咖喱|食物|饭
🍜;面条;拉面|河粉|热气腾腾|热气腾腾面碗|碗|筷子|食物
🍝;意粉;意大利面|意面|肉丸|食物|餐厅
🍠;烤红薯;地瓜|烤地瓜|红薯|食物
🍢;关东煮;串|卡博|海鲜|食物|餐馆
🍣;寿司;食物
🍤;天妇罗;对虾|油炸|炸虾|虾
🥮;月饼;中秋节|秋|秋天|节日
🥟;饺子;恩潘纳达|水饺|波兰饺子|煎饺
🥠;幸运饼干;签餅|算命|预言
🍦;圆筒冰激凌;冰淇淋|圆筒冰淇淋|甜|甜点|霜淇淋|食物
🍧;刨冰;冰|冰沙|沙冰|甜|甜点|餐馆
🍨;冰淇淋;冰|冰激凌|奶油|甜|甜点|雪糕
🍩;甜甜圈;甜|甜点|食物
🍪;饼干;巧克力片|曲奇|曲奇饼|甜点
🎂;生日蛋糕;庆祝|甜|甜点|生日|生日快乐|糕点|蛋糕
🍰;水果蛋糕;一片蛋糕|奶油|奶油酥饼|甜点|糕点|蛋糕
🧁;纸杯蛋糕;烘焙食品|甜点|请客|面包店
🥧;派;一片派|南瓜派|水果派|油酥点心|糕点|肉排|苹果派|馅
🍫;巧克力;万圣节|巧克力棒|甜|甜品|甜点|糖果
🍬;糖;万圣节|嗜甜食|爱吃甜食|甜|甜点|糖果|糖果纸|蛀牙|餐馆
🍭;棒棒糖;果子|甜|糖|糖果
🍮;奶黄;卡士达|甜点|蛋奶冻|蛋奶沙司
🍯;蜂蜜;小熊维尼|桶|甜|蜜罐
🍼;奶瓶;奶|婴儿|新生儿
🥛;一杯奶;喝|奶|杯|牛奶
☕;热饮;咖啡|早晨|星巴克|热气腾腾|茶|饮料
🫖;茶壶;冲泡|壶|茶|食物
🍵;热茶;乌龙茶|无柄茶杯|杯|没有把手的茶杯|热饮|茶|茶杯|饮料
🍶;清酒;喝酒|清酒杯|清酒瓶|瓶|酒|酒吧|酒杯|饮料
🍷;葡萄酒;俱乐部|喝酒|酒|酒吧|酒杯|饮料
🍸;鸡尾酒;俱乐部|喝酒|杯|玻璃杯|酒|酒吧|马丁尼|鸡尾酒杯
🍹;热带水果饮料;俱乐部|喝酒|热带饮料|酒|酒吧|饮料|鸡尾酒
🍺;啤酒;啤酒节|喝酒|杯|酒|酒吧
🍻;干杯;啤酒|喝酒|碰杯|酒|酒吧
🥂;碰杯;喝|干杯|庆祝|杯
🥃;平底杯;一杯威士忌|威士忌|平底无脚杯|杯|玻璃杯|酒|随行杯
🥤;带吸管杯;带吸管的杯子|果汁|水|汽水|苏打|苏打饮料|软饮料|麦乳精饮料
🧋;珍珠奶茶;奶茶|泡泡|牛奶|珍珠|茶|茶饮|饮料
🧃;饮料盒;吸管|果汁|果汁盒|甜味|盒装
🧊;冰块;冰|冰冷|冰山|冷|冷却|冷饮
🏠;房子;住家|家|乡村家园|建筑|心之所在|房屋|郊区
🏡;别墅;住家|家|乡村家园|庭院|庭院居家|建筑|心之所在|房子|花园|郊区
🏢;办公楼;写字楼|建筑
🏥;医院;医生|医药|建筑|看病
🏦;银行;建筑
🏨;酒店;建筑|旅馆
🏫;学校;建筑|教学楼
🏬;商场;建筑|百货公司|百货商城|百货商店
🏭;工厂;建筑
🏰;欧洲城堡;城堡|建筑|欧洲
🗼;东京塔;东京|塔
🗽;自由女神像;塑像|纽约|自由|雕塑
🕌;清真寺;伊斯兰|宗教|穆斯林
⛩️;神社;宗教|日本|神道教
🌃;夜晚;星空|晚上
🌄;山顶日出;太阳|山|日出|早晨|清晨
🌅;日出;大自然|太阳|早晨|清晨
🌆;城市黄昏;城市|夜晚|日落|都市|黄昏
🌇;日落;夕阳
🌉;夜幕下的桥;夜幕|晚上|桥
🎡;摩天轮;游乐园
🎢;过山车;游乐园
🎪;马戏团帐篷;帐篷|马戏团
🚂;蒸汽火车;守车|旅行|火车|火车头|蒸汽|蒸汽车头|铁路
🚃;轨道车;旅行|电车|铁路
🚄;高速列车;动车|新干线|火车|速度|高铁
🚅;子弹头高速列车;动车|子弹列车|子弹头|新干线|火车|高速|高铁
🚆;火车;到站|呜呜|铁路
🚇;地铁;捷运
🚈;轻轨;到站|单轨电车|火车
🚉;车站;地铁|捷运|火车|铁路
🚊;路面电车;捷运|电车
🚝;单轨;单轨电车|火车
🚞;山区铁路;山区|山地铁路|火车|铁路
🚋;有轨电车;轨道
🚌;公交车;公交|公共汽车|大巴
🚍;迎面驶来的公交车;公交|公共汽车|大巴|迎面驶来
